id;start_date;end_date;language
1;2020-11-14T09:58:37;2020-11-14T07:48:52;SPANISH
2;2020-11-13T14:48:48;2020-11-14T09:53:13;SPANISH
3;2020-11-14T05:44:07;2020-11-13T16:18:16;FRENCH
4;2020-11-13T21:01:38;2020-11-14T08:33:04;FRENCH
5;2020-11-14T06:31:56;2020-11-14T11:18:55;FRENCH
6;2020-11-14T00:24:17;2020-11-14T12:32:31;FRENCH
7;2020-11-14T02:09:37;2020-11-13T20:00:28;FRENCH
8;2020-11-14T01:05:50;2020-11-14T11:21:58;SPANISH
9;2020-11-13T23:46:59;2020-11-13T20:28:22;SPANISH
10;2020-11-14T07:59:03;2020-11-13T18:33:33;SPANISH
